Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/dev/items?id=12e8dfe9-5111-4e81-a963-cdc0abc3ba1a,1,0,162.83879599995998,162.83879599995998,162.83879599995998,162.83879599995998,64.0,0.00837577179469376,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/dev/items?id=12e8dfe9-5111-4e81-a963-cdc0abc3ba1a,1,0,45.617686000014146,45.617686000014146,45.617686000014146,45.617686000014146,69.0,0.00837577179469376,0.0,46,46,46,46,46,46,46,46,46,46,46
DELETE,/dev/items?id=1334bf7d-7af8-4543-952e-dab5295724a9,1,0,54.571822000070824,54.571822000070824,54.571822000070824,54.571822000070824,64.0,0.00837577179469376,0.0,55,55,55,55,55,55,55,55,55,55,55
GET,/dev/items?id=1334bf7d-7af8-4543-952e-dab5295724a9,1,0,52.1193189999849,52.1193189999849,52.1193189999849,52.1193189999849,69.0,0.00837577179469376,0.0,52,52,52,52,52,52,52,52,52,52,52
DELETE,/dev/items?id=134e33f7-4801-4abc-8f62-c0a94143cebc,1,0,58.085955000024114,58.085955000024114,58.085955000024114,58.085955000024114,64.0,0.00837577179469376,0.0,58,58,58,58,58,58,58,58,58,58,58
GET,/dev/items?id=134e33f7-4801-4abc-8f62-c0a94143cebc,1,0,84.40100999996503,84.40100999996503,84.40100999996503,84.40100999996503,69.0,0.00837577179469376,0.0,84,84,84,84,84,84,84,84,84,84,84
DELETE,/dev/items?id=139b2daa-88ad-4528-8938-67dd3911b4e2,1,0,80.84063100000094,80.84063100000094,80.84063100000094,80.84063100000094,64.0,0.00837577179469376,0.0,81,81,81,81,81,81,81,81,81,81,81
GET,/dev/items?id=139b2daa-88ad-4528-8938-67dd3911b4e2,1,0,83.5151380000525,83.5151380000525,83.5151380000525,83.5151380000525,69.0,0.00837577179469376,0.0,84,84,84,84,84,84,84,84,84,84,84
DELETE,/dev/items?id=13d8bfac-5916-41b8-9e0c-ae4a9eae685b,1,0,57.2185900000477,57.2185900000477,57.2185900000477,57.2185900000477,64.0,0.00837577179469376,0.0,57,57,57,57,57,57,57,57,57,57,57
GET,/dev/items?id=13d8bfac-5916-41b8-9e0c-ae4a9eae685b,1,0,48.38495100000273,48.38495100000273,48.38495100000273,48.38495100000273,69.0,0.00837577179469376,0.0,48,48,48,48,48,48,48,48,48,48,48
DELETE,/dev/items?id=14018a54-0b23-4860-ad9f-80218e73412b,1,0,59.67719300008412,59.67719300008412,59.67719300008412,59.67719300008412,64.0,0.00837577179469376,0.0,60,60,60,60,60,60,60,60,60,60,60
GET,/dev/items?id=14018a54-0b23-4860-ad9f-80218e73412b,1,0,80.16922800004522,80.16922800004522,80.16922800004522,80.16922800004522,69.0,0.00837577179469376,0.0,80,80,80,80,80,80,80,80,80,80,80
